latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
38.1847,126.9793,317.0,1.7,1.3,Terra,MODIS,17,6.03,296.4,21.6,D,0,2020-03-31 02:53:00
38.166,126.954,322.4,1.7,1.3,Terra,MODIS,80,6.03,294.8,34.7,D,0,2020-03-31 02:53:00
38.1622,126.9726,308.0,1.7,1.3,Terra,MODIS,47,6.03,293.9,9.3,D,0,2020-03-31 02:53:00
36.9843,126.7164,309.1,1.7,1.3,Terra,MODIS,51,6.03,295.6,11.4,D,2,2020-03-31 02:53:00
35.2645,128.7697,313.4,1.0,1.0,Aqua,MODIS,40,6.03,291.6,8.9,D,0,2020-03-31 04:31:00
38.1574,126.9618,349.0,1.1,1.1,Aqua,MODIS,95,6.03,301.1,63.3,D,0,2020-03-31 04:32:00
38.0498,126.9639,310.9,1.1,1.1,Aqua,MODIS,66,6.03,298.2,6.1,D,0,2020-03-31 04:32:00
38.1595,126.9743,330.3,1.1,1.0,Aqua,MODIS,85,6.03,295.5,27.2,D,0,2020-03-31 04:32:00
38.1553,126.9493,316.1,1.1,1.1,Aqua,MODIS,58,6.03,297.8,8.9,D,0,2020-03-31 04:32:00
38.1688,126.9719,326.0,1.1,1.0,Aqua,MODIS,76,6.03,295.5,20.4,D,0,2020-03-31 04:32:00
38.1667,126.9594,337.9,1.1,1.1,Aqua,MODIS,90,6.03,301.3,39.3,D,0,2020-03-31 04:32:00
38.1646,126.9469,319.4,1.1,1.1,Aqua,MODIS,75,6.03,298.7,12.0,D,0,2020-03-31 04:32:00
38.2228,127.2401,313.9,1.1,1.0,Aqua,MODIS,68,6.03,296.6,8.2,D,0,2020-03-31 04:32:00
38.2208,127.2279,338.8,1.1,1.0,Aqua,MODIS,90,6.03,297.0,41.3,D,0,2020-03-31 04:32:00
37.1125,127.0905,308.4,2.2,1.5,Aqua,MODIS,63,6.03,292.2,16.1,D,2,2020-04-01 05:14:00
37.109,127.0859,305.9,2.2,1.5,Aqua,MODIS,55,6.03,292.0,11.7,D,2,2020-04-01 05:14:00
38.1704,126.9894,325.5,2.3,1.5,Aqua,MODIS,72,6.03,291.3,61.1,D,0,2020-04-01 05:14:00
38.1404,126.989,303.2,2.3,1.5,Terra,MODIS,54,6.03,273.9,35.7,N,0,2020-04-01 13:02:00
38.1346,126.9627,307.6,2.3,1.5,Terra,MODIS,72,6.03,273.5,45.7,N,0,2020-04-01 13:02:00
38.1366,126.9839,312.1,2.3,1.5,Terra,MODIS,80,6.03,274.3,52.5,N,0,2020-04-01 13:02:00
37.3521,128.153,300.2,1.4,1.2,Terra,MODIS,21,6.03,288.9,5.1,D,0,2020-04-02 02:41:00
